Date,Aluminium,Copper,Nickel,Zinc,Tin,Lead
2008-01-02,2365.5,6666.0,26505.0,2384.0,16055.0,2580.0
2008-01-03,2422.0,6765.0,28105.0,2466.0,16355.0,2593.0
2008-01-04,2447.0,6990.5,29515.0,2563.0,16550.0,2665.0
2008-01-07,2404.0,6915.5,27905.0,2475.5,16200.0,2601.0
2008-01-08,2442.0,7106.0,28855.0,2534.0,16400.0,2580.5
2008-01-09,2450.5,7351.0,28800.0,2527.0,16450.0,2630.0
2008-01-10,2415.5,7120.5,28155.0,2409.5,16150.0,2525.5
2008-01-11,2417.0,7196.0,27610.0,2321.0,16175.0,2551.0
2008-01-14,2470.5,7361.0,28710.0,2375.5,16350.0,2640.0
2008-01-15,2460.5,7225.5,28450.0,2295.5,16145.0,2680.0
2008-01-16,2423.0,7020.0,27900.0,2262.0,16060.0,2610.0
2008-01-17,2412.5,7121.5,27715.0,2270.5,16350.0,2610.0
2008-01-18,2400.0,7062.0,27600.0,2240.5,16450.0,2550.0
2008-01-21,2371.5,6910.0,27330.0,2260.5,16175.0,2513.5
2008-01-22,2359.0,6920.0,26550.0,2180.0,16000.0,2480.0
2008-01-23,2371.0,7000.5,26800.0,2216.0,16345.0,2540.5
2008-01-24,2411.0,7092.0,26860.0,2235.5,16550.0,2579.5
2008-01-25,2483.0,7120.0,27010.0,2241.5,16300.0,2650.5
2008-01-28,2447.0,6893.0,26455.0,2210.0,16250.0,2586.5
2008-01-29,2555.0,7171.0,27330.0,2310.5,16575.0,2730.0
2008-01-30,2631.0,7165.0,27460.0,2312.5,16700.0,2741.0
2008-01-31,2643.0,7170.5,27550.0,2392.0,16835.0,2741.5
2008-02-01,2676.0,7345.0,27705.0,2506.0,16910.0,2845.0
2008-02-04,2628.5,7295.0,27350.0,2465.0,16780.0,2865.0
2008-02-05,2597.5,7202.0,26565.0,2402.0,16600.0,2770.0
2008-02-06,2591.5,7181.0,26410.0,2384.0,16680.0,2800.0
2008-02-07,2601.0,7350.0,26475.0,2333.0,16700.0,2786.0
2008-02-08,2680.0,7612.0,27355.0,2345.0,16975.0,2880.0
2008-02-11,2668.0,7820.5,28000.0,2429.0,16950.0,3012.0
2008-02-12,2637.5,7805.0,27800.0,2416.0,17055.0,3032.0
2008-02-13,2608.0,7680.5,27605.0,2366.5,16955.0,3020.0
2008-02-14,2738.0,7776.0,27405.0,2341.0,17005.0,3071.0
2008-02-15,2812.5,7801.0,27605.0,2355.0,16780.0,3045.0
2008-02-18,2796.0,7945.0,27405.0,2321.0,17000.0,3020.0
2008-02-19,2806.0,8080.0,27750.0,2370.5,16950.0,3110.0
2008-02-20,2812.5,8101.0,27655.0,2340.5,17005.0,3170.0
2008-02-21,2865.0,8281.0,28400.0,2470.5,17450.0,3315.0
2008-02-22,2865.5,8322.0,28550.0,2451.0,17335.0,3284.0
2008-02-25,2857.5,8247.0,28450.0,2465.5,17530.0,3266.0
2008-02-26,2877.0,8271.0,27850.0,2452.0,17725.0,3253.5
2008-02-27,3065.5,8516.0,28900.0,2601.0,17900.0,3400.0
2008-02-28,3046.0,8470.0,30325.0,2665.5,18425.0,3339.0
2008-02-29,3086.0,8540.5,31505.0,2721.0,18700.0,3394.0
2008-03-03,3141.0,8565.0,31900.0,2775.0,18720.0,3390.0
2008-03-04,3111.0,8685.0,33250.0,2805.5,19190.0,3460.0
2008-03-05,3062.0,8416.0,31655.0,2679.0,18850.0,3200.0
2008-03-06,3172.0,8881.0,33300.0,2825.5,19200.0,3380.0
2008-03-07,3175.0,8660.0,33200.0,2640.5,19250.0,3160.0
2008-03-10,3100.0,8400.5,32610.0,2540.0,18950.0,3035.0
2008-03-11,3115.0,8560.5,32155.0,2565.0,19200.0,3050.0
2008-03-12,3001.5,8356.0,31380.0,2544.0,19205.0,3015.0
2008-03-13,3078.0,8550.0,32285.0,2636.0,19855.0,3142.0
2008-03-14,3108.0,8611.0,32650.0,2585.0,20800.0,3111.0
2008-03-17,2931.0,8360.0,31210.0,2480.5,20450.0,2921.0
2008-03-18,2940.0,8285.0,30160.0,2475.0,20700.0,2871.0
2008-03-19,2862.0,8210.5,29605.0,2390.5,20605.0,2820.0
2008-03-20,2762.0,7789.0,28285.0,2260.0,19550.0,2650.0
