Input_Set,Lookback,Horizon,MAE,RMSE,MAPE,sMAPE,NRMSE,Directional_Accuracy,AUHE,Train_Time_sec,Inference_Time_sec,Num_Parameters,Model_Size_MB,FLOPs
w/o_Copper_Lead_Nickel_Tin_Zinc,10,1,26.28287696838379,34.07398029013488,1.0694164782762527,1.0723683051764965,0.029565274120670056,0.5021961932650073,0.0,150.15614199638367,0.0003230840142010248,4257,0.016239166259765625,4016.0
w/o_Lead_Nickel_Tin_Zinc,10,1,29.355663299560547,37.93615820835546,1.1893315240740776,1.1949870735406876,0.032916405402657244,0.5065885797950219,0.0,112.95556473731995,0.00032355945709853145,4257,0.016239166259765625,7696.0
w/o_Copper_Lead_Tin_Zinc,10,1,25.800838470458984,33.45733020334912,1.053920667618513,1.0558136738836765,0.029030220213784548,0.4992679355783309,0.0,180.06668663024902,0.0003330442640516493,4257,0.016239166259765625,7696.0
w/o_Copper_Lead_Nickel_Tin,10,1,27.670724868774414,35.516839989666344,1.129565667361021,1.130442600697279,0.030817216389091285,0.5095168374816984,0.0,137.0585322380066,0.00032368075777912695,4257,0.016239166259765625,7696.0
w/o_Copper_Lead_Nickel_Zinc,10,1,28.540803909301758,37.15476007578386,1.1549846269190311,1.1596127413213253,0.03223840212873676,0.5095168374816984,0.0,132.04238986968994,0.0003304746415879991,4257,0.016239166259765625,7696.0
w/o_Copper_Nickel_Tin_Zinc,10,1,32.33580780029297,41.83771952904012,1.3017866760492325,1.30934938788414,0.0363017084283063,0.5080527086383602,0.0,111.09075117111206,0.0003293442447283115,4257,0.016239166259765625,7696.0
w/o_Lead_Tin_Zinc,10,1,26.642377853393555,34.281232195756544,1.0858182795345783,1.088068075478077,0.02974510275619405,0.4992679355783309,0.0,152.09682846069336,0.0003189929047523186,4257,0.016239166259765625,11568.0
w/o_Lead_Nickel_Tin,10,1,28.57837677001953,36.784434269024544,1.1653813533484936,1.1677521280944347,0.03191708049650045,0.4992679355783309,0.0,105.26232099533081,0.0003325245533770288,4257,0.016239166259765625,11568.0
w/o_Lead_Nickel_Zinc,10,1,27.280969619750977,35.152367841210214,1.1093471199274063,1.1125828139483929,0.030500968883456457,0.5124450951683748,0.0,133.30420565605164,0.0003181479827702394,4257,0.016239166259765625,11568.0
w/o_Nickel_Tin_Zinc,10,1,26.52287483215332,34.3485036376905,1.0841942392289639,1.0855762287974358,0.02980347341674008,0.5036603221083455,0.0,155.08293318748474,0.0003170744020339341,4257,0.016239166259765625,11568.0
w/o_Copper_Lead_Tin,10,1,26.359081268310547,34.239637603268015,1.0756447911262512,1.078970544040203,0.029709014561584847,0.4992679355783309,0.0,133.7648913860321,0.0003195973167642515,4257,0.016239166259765625,11568.0
