Step,MAPE,Lookback,Horizon,Input_Set
1,2.5161420926451683,22,22,FULL
2,2.5996554642915726,22,22,FULL
3,2.641630358994007,22,22,FULL
4,2.7470890432596207,22,22,FULL
5,2.7647914364933968,22,22,FULL
6,2.899296395480633,22,22,FULL
7,2.9863933101296425,22,22,FULL
8,2.9740413650870323,22,22,FULL
9,2.9847020283341408,22,22,FULL
10,3.0734213069081306,22,22,FULL
11,3.103424794971943,22,22,FULL
12,3.165239468216896,22,22,FULL
13,3.2289788126945496,22,22,FULL
14,3.3117596060037613,22,22,FULL
15,3.4096471965312958,22,22,FULL
16,3.4896843135356903,22,22,FULL
17,3.580411896109581,22,22,FULL
18,3.6642897874116898,22,22,FULL
19,3.755326569080353,22,22,FULL
20,3.866320475935936,22,22,FULL
21,3.978673741221428,22,22,FULL
22,4.082785174250603,22,22,FULL
